metric,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_unit,stratified_by,model_id,family_version,architecture,encoder_id,anchor_mode,scenario_count
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
endpoint_distance_ratio_mae,0.18607024041972525,0.18447694669801978,0.18764608875543703,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
length_only_cv_mae,0.2030527168134657,0.2015256173059856,0.20475736405963874,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
isotonic_cv_mae,0.17105902409721843,0.16746447827522953,0.17463918036344697,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
endpoint_separation,0.5209025581144809,0.5141543406069919,0.5274219286228867,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
interior_calibration_error,0.16137452420761347,0.15761297515967337,0.1651160159480704,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
median_absolute_error,0.14963994854970508,0.14502328687707253,0.15417193931237963,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
normalized_off_axis_drift,0.7101097823335666,0.7011107177815353,0.7190684834314056,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
interpolation_distance_mean,0.7383898848473589,0.7295992961062145,0.7470486985745219,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
interpolation_distance_rms,0.7487824656478304,0.7395799552574487,0.7579795458476412,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
out_of_range_rate,0.000625,0.0,0.0014583333333333334,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
nearest_neighbor_mean_rank,4.048333333333334,4.0112499999999995,4.084583333333333,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
nearest_neighbor_mean_rank_normalized,0.5080555555555556,0.5018750000000001,0.5140972222222222,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
spearman_monotonicity,0.7834374999999998,0.7578124999999998,0.8093749999999998,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
pearson_correlation,0.7936310217134902,0.7684312983578367,0.8182793221263559,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
calibration_slope,0.45347370452299335,0.43244000378189434,0.47549586927195964,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
calibration_intercept,0.2515094894675002,0.23794824517367608,0.26456259069676713,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
endpoint_distance_ratio_mae,0.17234283931059985,0.1705521737061184,0.1740487854504068,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
length_only_cv_mae,0.20357487377575412,0.20199027397295136,0.20526462333271084,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
isotonic_cv_mae,0.1391461250621226,0.13502030340716825,0.14318756802348706,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
endpoint_separation,0.578795383417124,0.570734554178752,0.5864366113900515,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
interior_calibration_error,0.1584125475399398,0.15421913028150286,0.16247884926135853,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
median_absolute_error,0.1514157372661149,0.1464977569787227,0.1563948179492488,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
normalized_off_axis_drift,0.6554011788172481,0.6469096254841588,0.6640353572018025,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
interpolation_distance_mean,0.6855643998797849,0.6771662730283694,0.6939015428889119,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
interpolation_distance_rms,0.6960295005832592,0.6870070014331326,0.7050465505299555,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
out_of_range_rate,0.0008333333333333333,0.00020833333333333332,0.0016666666666666666,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
nearest_neighbor_mean_rank,3.819583333333333,3.7802083333333334,3.8574999999999995,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
nearest_neighbor_mean_rank_normalized,0.4699305555555555,0.46336805555555555,0.47624999999999995,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
spearman_monotonicity,0.8046874999999998,0.7787499999999998,0.8300078124999998,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
pearson_correlation,0.8092336703244832,0.7840634288232178,0.8337667381020479,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
