scope,style_axis,metric,effect,estimate,ci_lower,ci_upper,paired_effect_size_dz,scenario_count
qwen36_35b_a3b,concision_detail,naturalness,prompt_P2_minus_P1,-0.046666666666666676,-0.15999999999999998,0.033333333333333215,-0.3639126714370257,5
qwen35_4b,emotion_apology,naturalness,prompt_P2_minus_P1,-0.1866666666666666,-0.3199999999999999,-0.00666666666666661,-0.8876596749275375,5
qwen35_9b,emotion_apology,naturalness,prompt_P2_minus_P1,-0.23333333333333348,-0.4400000000000003,-0.040000000000000105,-0.9312661473328349,5
qwen36_27b,emotion_apology,naturalness,prompt_P2_minus_P1,-0.1533333333333334,-0.3866666666666668,0.06000000000000005,-0.535463226756677,5
qwen36_35b_a3b,emotion_apology,naturalness,prompt_P2_minus_P1,0.046666666666666724,-0.2133333333333335,0.22666666666666693,0.1635219465768382,5
qwen35_4b,empathy_clinical,naturalness,prompt_P2_minus_P1,0.06666666666666661,-2.1649348980190552e-16,0.11333333333333347,0.8528028654224401,5
qwen35_9b,empathy_clinical,naturalness,prompt_P2_minus_P1,0.12000000000000008,-0.053333333333333434,0.30666666666666675,0.5262348115842176,5
qwen36_27b,empathy_clinical,naturalness,prompt_P2_minus_P1,0.14000000000000007,-0.01999999999999998,0.27999999999999997,0.7129918293382962,5
qwen36_35b_a3b,empathy_clinical,naturalness,prompt_P2_minus_P1,0.013333333333333322,-0.2,0.31333333333333335,0.04055118699496874,5
qwen35_4b,expertise_explain,naturalness,prompt_P2_minus_P1,0.07333333333333328,-0.2333333333333334,0.39333333333333337,0.17861991996279358,5
qwen35_9b,expertise_explain,naturalness,prompt_P2_minus_P1,-0.12666666666666665,-0.3733333333333334,0.16000000000000014,-0.3563718276007177,5
qwen36_27b,expertise_explain,naturalness,prompt_P2_minus_P1,0.6599999999999999,0.3066666666666666,0.8733333333333334,1.6812293370131692,5
qwen36_35b_a3b,expertise_explain,naturalness,prompt_P2_minus_P1,0.8466666666666665,0.5466666666666666,1.06,2.4693968099345502,5
qwen35_4b,formality_request,naturalness,prompt_P2_minus_P1,-0.21333333333333337,-0.5200000000000001,0.04666666666666658,-0.5986277688174014,5
qwen35_9b,formality_request,naturalness,prompt_P2_minus_P1,-0.20666666666666672,-0.4000000000000002,0.04000000000000002,-0.72220076740448,5
qwen36_27b,formality_request,naturalness,prompt_P2_minus_P1,0.07999999999999989,-0.053333333333333455,0.24666666666666642,0.4289820032418971,5
qwen36_35b_a3b,formality_request,naturalness,prompt_P2_minus_P1,0.20666666666666664,0.006666666666666687,0.38666666666666666,0.8500331705159768,5
qwen35_4b,humor_neutral,naturalness,prompt_P2_minus_P1,-0.31333333333333335,-0.5000000000000002,-0.17999999999999972,-1.4626918036102698,5
qwen35_9b,humor_neutral,naturalness,prompt_P2_minus_P1,-0.16666666666666669,-0.3066666666666667,-0.06000000000000001,-1.0314212462587933,5
qwen36_27b,humor_neutral,naturalness,prompt_P2_minus_P1,-0.03333333333333337,-0.11333333333333337,0.05999999999999993,-0.2948839123097946,5
qwen36_35b_a3b,humor_neutral,naturalness,prompt_P2_minus_P1,-0.1333333333333333,-0.30000000000000004,0.033333333333333395,-0.6135719910778961,5
qwen35_4b,objectivity_cat,naturalness,prompt_P2_minus_P1,-0.22000000000000006,-0.2933333333333333,-0.1533333333333334,-2.4427695936520997,5
qwen35_9b,objectivity_cat,naturalness,prompt_P2_minus_P1,0.013333333333333313,-0.2133333333333333,0.2466666666666666,0.044637742101558804,5
qwen36_27b,objectivity_cat,naturalness,prompt_P2_minus_P1,0.9600000000000002,0.4666666666666666,1.4533333333333334,1.451475736470861,5
qwen36_35b_a3b,objectivity_cat,naturalness,prompt_P2_minus_P1,0.27333333333333315,0.07999999999999981,0.4666666666666665,1.0987180386913558,5
qwen35_4b,politeness_refusal,naturalness,prompt_P2_minus_P1,-0.1133333333333334,-0.2600000000000001,0.04666666666666651,-0.593665751404142,5
qwen35_9b,politeness_refusal,naturalness,prompt_P2_minus_P1,-0.16666666666666666,-0.35333333333333344,0.08666666666666674,-0.5872202195147032,5
qwen36_27b,politeness_refusal,naturalness,prompt_P2_minus_P1,-0.11333333333333348,-0.46000000000000024,0.2599999999999998,-0.2518173113796536,5
qwen36_35b_a3b,politeness_refusal,naturalness,prompt_P2_minus_P1,0.1666666666666667,-0.026666666666666707,0.4133333333333333,0.5792844463634925,5
all_models,all,naturalness,temperature_low_minus_high,0.04104166666666669,0.01708333333333334,0.065,0.47052589167973075,40
qwen35_4b,all,naturalness,temperature_low_minus_high,0.0858333333333334,0.03500000000000007,0.14500000000000007,0.4726040653424612,40
qwen35_9b,all,naturalness,temperature_low_minus_high,0.06250000000000004,0.025000000000000033,0.10000000000000002,0.3964441100187193,40
qwen36_27b,all,naturalness,temperature_low_minus_high,-0.004166666666666685,-0.07000000000000006,0.060833333333333316,-0.01660387046421275,40
qwen36_35b_a3b,all,naturalness,temperature_low_minus_high,0.02,-0.014999999999999916,0.054166666666666606,0.15276703164441865,40
qwen35_4b,concision_detail,naturalness,temperature_low_minus_high,0.033333333333333354,0.006666666666666715,0.06,1.0000000000000018,5
qwen35_9b,concision_detail,naturalness,temperature_low_minus_high,-0.013333333333333313,-0.1266666666666668,0.09333333333333346,-0.09225312080288822,5
qwen36_27b,concision_detail,naturalness,temperature_low_minus_high,-0.21333333333333337,-0.37333333333333346,-0.07999999999999993,-1.1261045489244585,5
qwen36_35b_a3b,concision_detail,naturalness,temperature_low_minus_high,0.07333333333333325,0.006666666666666643,0.14666666666666658,0.8198915917499223,5
qwen35_4b,emotion_apology,naturalness,temperature_low_minus_high,0.1600000000000002,0.06666666666666693,0.24666666666666676,1.5029382986043618,5
qwen35_9b,emotion_apology,naturalness,temperature_low_minus_high,0.06000000000000003,-0.04,0.14000000000000015,0.5262348115842174,5
qwen36_27b,emotion_apology,naturalness,temperature_low_minus_high,0.06000000000000009,-0.05333333333333297,0.1800000000000002,0.41079191812887533,5
qwen36_35b_a3b,emotion_apology,naturalness,temperature_low_minus_high,0.08666666666666671,-0.013333333333333358,0.16666666666666666,0.7413457330658625,5
qwen35_4b,empathy_clinical,naturalness,temperature_low_minus_high,0.06666666666666668,1.0658141036401505e-16,0.15999999999999998,0.6488856845230506,5
qwen35_9b,empathy_clinical,naturalness,temperature_low_minus_high,0.08000000000000004,0.013333333333333353,0.1466666666666669,0.9203579866168438,5
qwen36_27b,empathy_clinical,naturalness,temperature_low_minus_high,0.0866666666666667,-0.06666666666666693,0.30000000000000016,0.35613097070134575,5
qwen36_35b_a3b,empathy_clinical,naturalness,temperature_low_minus_high,0.02666666666666666,-0.11333333333333324,0.13999999999999996,0.1679101920644455,5
qwen35_4b,expertise_explain,naturalness,temperature_low_minus_high,0.1266666666666667,-0.11333333333333333,0.5066666666666667,0.30069841474670844,5
qwen35_9b,expertise_explain,naturalness,temperature_low_minus_high,0.2733333333333333,0.06666666666666672,0.45999999999999996,1.0987180386913564,5
qwen36_27b,expertise_explain,naturalness,temperature_low_minus_high,-0.22000000000000003,-0.54,0.0866666666666668,-0.5180655044616691,5
qwen36_35b_a3b,expertise_explain,naturalness,temperature_low_minus_high,-0.006666666666666696,-0.0733333333333333,0.04666666666666654,-0.08770580193070338,5
qwen35_4b,formality_request,naturalness,temperature_low_minus_high,0.02666666666666666,-0.03999999999999994,0.07999999999999995,0.3350831266333568,5
qwen35_9b,formality_request,naturalness,temperature_low_minus_high,0.12666666666666682,0.05333333333333361,0.20666666666666664,1.2883206568795438,5
qwen36_27b,formality_request,naturalness,temperature_low_minus_high,-0.026666666666666748,-0.12666666666666698,0.12666666666666665,-0.15780596863049468,5
qwen36_35b_a3b,formality_request,naturalness,temperature_low_minus_high,-0.11333333333333331,-0.22666666666666657,0.006666666666666548,-0.7454993164109753,5
qwen35_4b,humor_neutral,naturalness,temperature_low_minus_high,0.08666666666666671,-0.026666666666666755,0.23333333333333353,0.5069854243785703,5
qwen35_9b,humor_neutral,naturalness,temperature_low_minus_high,0.05999999999999996,-0.03333333333333336,0.17999999999999983,0.4404679058091568,5
qwen36_27b,humor_neutral,naturalness,temperature_low_minus_high,0.08666666666666664,-0.04666666666666665,0.24000000000000005,0.4803298070591579,5
qwen36_35b_a3b,humor_neutral,naturalness,temperature_low_minus_high,0.06666666666666675,-0.006666666666666715,0.14666666666666678,0.6859943405700355,5
qwen35_4b,objectivity_cat,naturalness,temperature_low_minus_high,0.08666666666666681,0.006666666666666751,0.16666666666666688,0.8525735865191395,5
qwen35_9b,objectivity_cat,naturalness,temperature_low_minus_high,-0.053333333333333365,-0.08000000000000011,-0.020000000000000035,-1.403292830891246,5
qwen36_27b,objectivity_cat,naturalness,temperature_low_minus_high,0.039999999999999966,-0.17333333333333328,0.22666666666666666,0.15662540082625911,5
qwen36_35b_a3b,objectivity_cat,naturalness,temperature_low_minus_high,-0.03333333333333335,-0.1800000000000001,0.11999999999999993,-0.17277368511627209,5
qwen35_4b,politeness_refusal,naturalness,temperature_low_minus_high,0.10000000000000006,-0.10000000000000005,0.30000000000000016,0.4160251471689215,5
qwen35_9b,politeness_refusal,naturalness,temperature_low_minus_high,-0.033333333333333146,-0.11333333333333306,0.06,-0.2948839123097931,5
qwen36_27b,politeness_refusal,naturalness,temperature_low_minus_high,0.15333333333333324,0.03999999999999998,0.2533333333333331,1.1393680306215617,5
qwen36_35b_a3b,politeness_refusal,naturalness,temperature_low_minus_high,0.06000000000000003,0.020000000000000143,0.11333333333333333,0.9357754408380677,5
all_models,all,naturalness,prompt_temperature_interaction,0.013750000000000012,-0.04083333333333333,0.06875000000000003,0.0704793954430006,40
