timestamp_utc,gpu_index,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,temperature_c,power_draw_w
2026-09-15T12:28:32.003730Z,6,NVIDIA L20Z,71304,81559,83,51,391.21
2026-09-15T12:28:32.003730Z,7,NVIDIA L20Z,70664,81559,87,54,324.35
2026-09-15T12:28:37.661895Z,0,NVIDIA L20Z,4,81559,0,32,69.95
2026-09-15T12:28:37.661895Z,1,NVIDIA L20Z,4347,81559,88,44,559.89
2026-09-15T12:28:37.661895Z,2,NVIDIA L20Z,5759,81559,100,56,589.75
2026-09-15T12:28:37.661895Z,3,NVIDIA L20Z,2469,81559,18,36,180.87
2026-09-15T12:28:37.661895Z,4,NVIDIA L20Z,72262,81559,0,42,126.20
2026-09-15T12:28:37.661895Z,5,NVIDIA L20Z,71622,81559,0,52,133.23
2026-09-15T12:28:37.661895Z,6,NVIDIA L20Z,71304,81559,74,50,366.61
2026-09-15T12:28:37.661895Z,7,NVIDIA L20Z,70664,81559,33,51,264.43
2026-09-15T12:28:42.814177Z,0,NVIDIA L20Z,4,81559,0,32,70.04
2026-09-15T12:28:42.814177Z,1,NVIDIA L20Z,5067,81559,90,49,600.25
2026-09-15T12:28:42.814177Z,2,NVIDIA L20Z,6949,81559,0,43,271.97
2026-09-15T12:28:42.814177Z,3,NVIDIA L20Z,3199,81559,27,39,312.01
2026-09-15T12:28:42.814177Z,4,NVIDIA L20Z,72262,81559,0,40,125.07
2026-09-15T12:28:42.814177Z,5,NVIDIA L20Z,71622,81559,0,51,130.59
2026-09-15T12:28:42.814177Z,6,NVIDIA L20Z,71304,81559,87,50,365.13
2026-09-15T12:28:42.814177Z,7,NVIDIA L20Z,70664,81559,85,55,356.76
2026-09-15T12:28:47.961296Z,0,NVIDIA L20Z,4,81559,0,33,70.12
2026-09-15T12:28:47.961296Z,1,NVIDIA L20Z,5067,81559,83,51,580.34
2026-09-15T12:28:47.961296Z,2,NVIDIA L20Z,4,81559,0,39,72.41
2026-09-15T12:28:47.961296Z,3,NVIDIA L20Z,4,81559,0,34,73.99
2026-09-15T12:28:47.961296Z,4,NVIDIA L20Z,72262,81559,0,39,124.33
2026-09-15T12:28:47.961296Z,5,NVIDIA L20Z,71622,81559,0,49,129.56
2026-09-15T12:28:47.961296Z,6,NVIDIA L20Z,71304,81559,33,47,304.13
2026-09-15T12:28:47.961296Z,7,NVIDIA L20Z,70664,81559,47,54,331.53
2026-09-15T12:28:53.127389Z,0,NVIDIA L20Z,4,81559,0,33,70.21
