model_id,encoder_id,method,statistic,estimate,ci_lower,ci_upper,scenario_count,incremental_cost,mean_llm_judge_latency_seconds,total_llm_judge_output_tokens_all_models,human_style_correlation,human_style_mae,human_validation_status
qwen35_35b_a3b,text2vec_base_chinese,raw_projection,median_absolute_error,0.16136250612790998,0.156876698812403,0.1660893320530417,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,raw_projection,spearman,0.7096874999999999,0.6803124999999999,0.7384375,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,raw_projection,pearson,0.7169912037269943,0.6885860299661004,0.7451244542346845,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,raw_projection,calibration_slope,0.3951826987992303,0.3763333711048273,0.4149834505745507,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,raw_projection,calibration_intercept,0.3081490117260402,0.294118879961766,0.3217831252317041,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,constant_0.5,mae,0.19999999999999998,0.2,0.2,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,constant_0.5,median_absolute_error,0.16666666666666669,0.16666666666666663,0.16666666666666663,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,constant_0.5,spearman,,,,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,constant_0.5,pearson,,,,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,constant_0.5,calibration_slope,3.2878958044297755e-17,3.287895804429775e-17,3.287895804429775e-17,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,constant_0.5,calibration_intercept,0.5,0.5,0.5,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,endpoint_distance_ratio,mae,0.1949240951705026,0.19363024087512337,0.19620287449417248,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,endpoint_distance_ratio,median_absolute_error,0.18220280265228253,0.17956531840294865,0.184812351653621,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,endpoint_distance_ratio,spearman,0.5040624999999999,0.4615625,0.5462499999999999,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,endpoint_distance_ratio,pearson,0.5294655987403778,0.4897031588939941,0.5693089449823119,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,endpoint_distance_ratio,calibration_slope,0.06669782242521508,0.06056978792869546,0.07290072706502422,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,endpoint_distance_ratio,calibration_intercept,0.4463802372479192,0.44193869209042014,0.4507068153163512,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,isotonic_grouped_cv,mae,0.19542102374179543,0.19388056513114574,0.19700023291189586,320,sentence-encoder inference; no LLM request,,0,,,external_pending
